ID,Usernames,Followers,Posts,Gender,Link to photo,Photo likes,Photo comments,Framing,Background,Headwear,Hair style,Hair color,Eye color,Facial piercings,Earrings,Smile,Teeth,Facial hair,Glasses,Eye shadow color,Lipstick color,Makeup,Clothes,Cleavage,Necklace,Tattoos
26,floydmayweather,"22,928,911",984,M,https://www.instagram.com/p/Bx4Qw-Zl87n/,"339,979","2,945",Full Body,Inside,Yes,None,None,Brown,No,No,Yes,Yes,Light,No,None,None,No,Jacket,No,Yes,No
27,zaskia_gotix,"20,010,003",2564,F,https://www.instagram.com/p/B5eI8Hejqna/,"121,743","1,494",Full Face,Inside,No,Pulled up,Brown,Brown,No,Yes,Yes,No,None,No,Brown,Red,Yes,Dress,No,No,No
28,zaskia_gotix,"20,010,003",2564,F,https://www.instagram.com/p/B5d9mvQDCEI/,"71,248",540,Full Face,Inside,No,Pulled up,Black,Brown,No,Yes,No,No,None,No,Brown,Red,Yes,Shirt,No,No,No
29,zaskia_gotix,"20,010,003",2564,F,https://www.instagram.com/p/B5Jo6B4DbK-/,"37,281",474,Full Face,Inside,No,Pulled up,Brown,Brown,No,Yes,Yes,Yes,None,No,Brown,Neutral,Yes,Dress,No,No,No
30,davidluiz_4,"19,324,244",2028,M,https://www.instagram.com/p/B4ff5I1HFhS/,"137,929",15,Full Face,Outside,No,Medium,Brown,Brown,No,No,Yes,Yes,None,No,None,None,No,Shirt,No,No,No
31,davidluiz_4,"19,324,244",2028,M,https://www.instagram.com/p/B2jp0YUHEzN/,"126,863",28,Full Body,Outside,No,Medium,Brown,Brown,No,No,No,No,None,No,None,None,No,Shirt,No,No,No
32,davidluiz_4,"19,324,244",2028,M,https://www.instagram.com/p/B1MNpqGn7q9/,"288,788",24,Full Face,Outside,No,Medium,Brown,Brown,No,No,Yes,Yes,None,No,None,None,No,Shirt,No,No,No
33,peytonlist,"16,369,824",1201,F,https://www.instagram.com/p/B5yG-mZgtC5/,"585,273","1,403",Full Face,Inside,No,Long,Blonde,Hazel,No,No,Yes,No,None,No,Pink,Neutral,Yes,Shirt,Yes,No,No
34,peytonlist,"16,369,824",1201,F,https://www.instagram.com/p/B5QlnqnAF_a/,"553,284","1,431",Full Face,Outside,No,Long,Blonde,Hazel,No,Yes,Yes,No,None,No,None,Neutral,Yes,Crop top,No,Yes,No
35,peytonlist,"16,369,824",1201,F,https://www.instagram.com/p/BzjLa6JgjPD/,"1,061,689","7,059",Full Face,Inside,No,Pulled up,Blonde,Hazel,No,No,No,No,None,No,Gold,Red,Yes,Bra,No,No,No
36,thalia,"15,067,584",9196,F,https://www.instagram.com/p/B5yb7nIh-dl/,"230,346","2,064",Cropped Face,Inside,Yes,None,None,Hazel,No,No,Yes,Yes,None,No,None,Neutral,Yes,Shirt,No,No,No
